,0
0,Arizona
1,Arkansas
2,Connecticut
3,Delaware
4,Georgia
5,Illinois
6,Indiana
7,Iowa
8,Kansas
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Minnesota
14,Mississippi
15,Missouri
16,Montana
17,New Hampshire
18,New Jersey
19,North Carolina
20,North Dakota
21,Oklahoma
22,Oregon
23,Pennsylvania
24,Rhode Island
25,South Carolina
26,South Dakota
27,Tennessee
28,Vermont
29,Virginia
30,Washington
31,West Virginia
32,Wisconsin
